full_prompt,suffix,is_adversarial,algorithm,source_dataset,language
グレアの語源は何？,,0,normal,tydiqa,japanese
"Write a dialog with this premise ""Thomas's bicycle is broken. He will go to a bicycle workshop on Crane Lane 5."".",,0,normal,openorca,english
"My broker called and we are definitely in for Tina Turner. He is waiting  unitl the last week to give me the tickets so we get premo seats. Have fun  this week-end. 
Propose a subject line for this email?",,0,normal,openorca,english
Who is Poole's secret identity?,,0,normal,tydiqa,english
"Premise:
""is that new"" Based on this premise, is the hypothesis ""Was that made recently?"" true?",,0,normal,openorca,english
"Add spaces: Whether...Readmore»

",,0,normal,openorca,english
"Write a sentence based on ""cyprus greets new year with one last puff inside""",,0,normal,openorca,english
ビュッケブルク の面積は？,,0,normal,tydiqa,japanese
Darimana asal Yasser Arafat?,,0,normal,tydiqa,indonesian
"Please answer the following question: Where might someone live if they are only able to have a small dog?  A. dog show  B. manhattan apartment  C. tree  D. farm  E. neighbor's yard  The best answer is
A:",,0,normal,openorca,english
What is switching the rhetoric?,,0,normal,tydiqa,english
Siapa ketua unit Legiun Asing Prancis?,,0,normal,tydiqa,indonesian
How popular is Verbotene Liebe?,,0,normal,tydiqa,english
Dimana letak Memorial Lincoln?,,0,normal,tydiqa,indonesian
"Sentence: Raúl Fernando Sendic Rodríguez is the leader of Uruguay.

What data can be extracted from this sentence?",,0,normal,openorca,english
慕容 恪の死因は？,,0,normal,tydiqa,japanese
"This text is missing some spaces, please add them: DinoCarsbestbuyat-Europe'sNo.1forhomefitness",,0,normal,openorca,english
Write a negative movie review.,,0,normal,openorca,english
berapakah jumlah Gereja Katolik di italia?,,0,normal,tydiqa,indonesian
Where is firewood banksia found as a native plant?,,0,normal,tydiqa,english
berapa kah luas Belanda ?,,0,normal,tydiqa,indonesian
"Add spaces between the words in the following text: SuchwasthefaceofnaturearoundImpivaara,whichwasnowfastbecomingaprosperousfarm.

",,0,normal,openorca,english
Do migrant labourers hurt the economy?,,0,normal,tydiqa,english
Apa itu portal Portal Burung?,,0,normal,tydiqa,indonesian
Where is Notre Chico located?,,0,normal,tydiqa,english
Siapakah orang tua Xue Rengao ?,,0,normal,tydiqa,indonesian
"You are considering whether to buy a product. You look at the reviews. Would the following review decrease or increase the chances of you buying the product? Review title: Three Lives of Thomasina DVD Review Product review: It's one of the very first movies I ever remember seeing as a very little girl. And Thomasina looks just like my old cat, Ginger.
A:",,0,normal,openorca,english
"Exerciseprogrammes:14,heartratecontrolled:5

Please segment the words:",,0,normal,openorca,english
"So that he could escape, Jason became invisible

How would you consider the linguistic integrity of the preceding sentence?",,0,normal,openorca,english
"Tohle je Kimball Cho.

Translate this to English?",,0,normal,openorca,english
"How does the sentence end? See options at the end

All administrative functions were handled by the office rather than the computer, as the 

Choices:
[1]. office was reliable to do it right..
[2]. computer was reliable to do it right..",,0,normal,openorca,english
"How is ""I would prefer some peace and quiet."" said in Czech?",,0,normal,openorca,english
How many Army bases are located in Australia by the US?,,0,normal,tydiqa,english
Write a brief sentence.,,0,normal,openorca,english
"Continue writing the next sentence in this paragraph:

A man is seen putting objects onto a wall and place a board along the wall. he",,0,normal,openorca,english
"Write a sentence based on ""hospital says best 's condition deteriorates""",,0,normal,openorca,english
Generate a context and a hypothesis.,,0,normal,openorca,english
"When did Jose V. Lopez coin the term ""nuclear mitochondrial DNA segment""?",,0,normal,tydiqa,english
Siapakah kaum minoritas di Turki ?,,0,normal,tydiqa,indonesian
Как Спартак стал гладиатором?,,0,normal,tydiqa,russian
"Translate ""Salta"" to Russian?",,0,normal,openorca,english
"Translate ""And no wonder, because the English waterways are among the longest and most urodziwych in Europe."" to German?",,0,normal,openorca,english
"Q:Build a movie plot around this: Who kills Alex's friends? Three Finger
A:",,0,normal,openorca,english
Kapankah Mr. Raden Mas Sartono lahir ?,,0,normal,tydiqa,indonesian
Siapakh penemu ilmu taksonomi ?,,0,normal,tydiqa,indonesian
"Data: name = The Cambridge Blue, eatType = restaurant, food = Chinese, priceRange = more than £30, near = Café Brazil. Can you generate a sentence about this data?",,0,normal,openorca,english
siapakah peopor ilmu hipostasis?,,0,normal,tydiqa,indonesian
"The statistician looked at the attribute but wanted more information, what did he want?
Options:
- calculus
- description
- formulas
- sentence where described
- array Let's think step by step:",,0,normal,openorca,english
"Review:
some corny television 
Is this movie review sentence negative or positive?",,0,normal,openorca,english
"Produce a sentence which mentions all of these concepts: building, function, gate",,0,normal,openorca,english
"How is ""Where in the EU Member States does political decency begin and end?"" said in Finnish?",,0,normal,openorca,english
Kapan Andrey Kuznetsov mulai karir sebagai atlit tenis ?,,0,normal,tydiqa,indonesian
"Please answer the following question: Build a movie plot around this: What is Junior wearing of Mari's? Her necklace
A:",,0,normal,openorca,english
冉 閔が台頭した理由は？,,0,normal,tydiqa,japanese
ช็อน ดู-ฮวัน เกิดเมื่อไหร่?,,0,normal,tydiqa,thai
"How is ""Those results gave Kostunica a kingmaker role in formation of the new government."" said in Romanian?",,0,normal,openorca,english
Apa mata uang Iran ?,,0,normal,tydiqa,indonesian
Write a brief sentence.,,0,normal,openorca,english
"Fish is not fresh! Way better places in town.
How would this review be described in terms of sentiment?",,0,normal,openorca,english
"Write a sentence based on ""critics lead save the whale call at world whaling meet""",,0,normal,openorca,english
Kapan Polikarpus lahir?,,0,normal,tydiqa,indonesian
Kapan Ryan Harrison memulai karir sebagai petenis ?,,0,normal,tydiqa,indonesian
Write a sentence in English.,,0,normal,openorca,english
"kapankah Square Co., Lt didirikan?",,0,normal,tydiqa,indonesian
berapakah anak Ludwig yang Saleh?,,0,normal,tydiqa,indonesian
How high is Kahlenberg Mountain?,,0,normal,tydiqa,english
Add spaces between the words in the following text: HospitaldeSantPau(Church),,0,normal,openorca,english
Кан Ювэй посещал Россию?,,0,normal,tydiqa,russian
When was Cairo founded?,,0,normal,tydiqa,english
"Review:
's really unclear 
Is this movie review sentence negative or positive?",,0,normal,openorca,english
"Write a sentence based on ""outgoing annan calls for fast development in africa""",,0,normal,openorca,english
Gurun Sahara terletak di benua apa?,,0,normal,tydiqa,indonesian
"Is this product review positive? Title: Tree People Review: Ender saves the universe yet again. The new all knowing all seeing Ender saves the pig (vegetable people). A stupid immature scientist hides important data because of misplaced guilt. She then creates a miserable disfunctional family, and the soap opera moves sideways from there. Answer:

Choose from: [i] No; [ii] Yes;
Answer:",,0,normal,openorca,english
"Tweet: @mikeybouchereau lol yes you Mikey. lol crazy night 
Predict the sentiment of this tweet.",,0,normal,openorca,english
"To si sakra piš! Joo!

Translate to English

English:",,0,normal,openorca,english
"1225-Specialextension
What's a sentence that uses these characters?",,0,normal,openorca,english
Was The Yuma War a wargame?,,0,normal,tydiqa,english
"Write a dialog based on this summary:
Josh, Emma and Bill will order pizza and Asian food for the evening..",,0,normal,openorca,english
"Add punctuation: That thought omits the free will that everyone has except in the two aforementioned situations

",,0,normal,openorca,english
Siapa ayah Sri Sultan Hamengkubuwana I?,,0,normal,tydiqa,indonesian
Ask a question about Political party.,,0,normal,openorca,english
How often does a lawyer need to take the bar?,,0,normal,tydiqa,english
"Generate a short movie review that has ""[I]"" sentiment ( [I] negative. [II] positive.).",,0,normal,openorca,english
"What is the sentiment of the following movie review sentence?
masterfully ",,0,normal,openorca,english
Siapa pemenang SUCI 1 ?,,0,normal,tydiqa,indonesian
Please add spaces between words: Trigger(stollen)-No.12,,0,normal,openorca,english
"• La CPP continue d’offrir aux plaignants et à la GRC l’occasion de régler un différend à l’amiable.

Translate this to English?",,0,normal,openorca,english
Ask a question about LaserDisc.,,0,normal,openorca,english
Add spaces between the words in the following text: Netvolume186litres.,,0,normal,openorca,english
"but there was now enough noise and bustle in the yard.

Make this proper case",,0,normal,openorca,english
Bisakah SARS disembuhkan ?,,0,normal,tydiqa,indonesian
여성 성기 절제는 왜 하는가?,,0,normal,tydiqa,korean
Add spaces between the words in the following text: BarrierfreemobilhomeSuncoolfor4persons,,0,normal,openorca,english
Creatively image a question and justification for this answer: 10,,0,normal,openorca,english
"Generate an approximately fifteen-word sentence that describes all this data: Dead Man's Plack, location, England.
Sentence:",,0,normal,openorca,english
配置はいつ建国した？,,0,normal,tydiqa,japanese
Когда была битва за Баку?,,0,normal,tydiqa,russian
Is Portugal considered Latino?,,0,normal,tydiqa,english
"Possible answers: 1). Yes. 2). No.
Q: Title: Great American TV Review: The fourth season was great! The item was as described and the company provided great service Is this product review negative?
A:",,0,normal,openorca,english
"Gurjaani Municipality

Translate to Russian",,0,normal,openorca,english
apakah nama mata uang Austria?,,0,normal,tydiqa,indonesian
Siapa pendiri KMBPalembang?,,0,normal,tydiqa,indonesian
Generate a context and a hypothesis.,,0,normal,openorca,english
"Generate a short movie review that has ""b)."" sentiment (OPT:
a). negative
b). positive).",,0,normal,openorca,english
Apakah fungsi elektron ?,,0,normal,tydiqa,indonesian
"Test for natural language inference.
Premise: ""An individual is walking down a set of steps with a bag in their left hand.""
Hypothesis: ""A person just finished shopping.""
Is the hypothesis entailed by the premise?
Options:
- yes
- no
- it is not possible to tell Let's be accurate as possible and think first.",,0,normal,openorca,english
"Translate ""● percent"" to Czech?",,0,normal,openorca,english
How old is John Part?,,0,normal,tydiqa,english
What was the first volley gun?,,0,normal,tydiqa,english
プロイシシュ・オルデンドルフにお城はある？,,0,normal,tydiqa,japanese
Either many people are running in the race competition or nobody is.is the reasoning for what question and answer pair?,,0,normal,openorca,english
Признали Ходжали́нскую резню геноцидом?,,0,normal,tydiqa,russian
中山星香のデビュー作は何,,0,normal,tydiqa,japanese
"Ask a question about New Haven, Connecticut.",,0,normal,openorca,english
What's the term limit for Prime Ministers?,,0,normal,tydiqa,english
"Here are some keywords about a restaurant:

name = Clowns, eatType = coffee shop, food = Japanese, area = riverside, near = Clare Hall. Write a sentence that describes the following attributes of a restaurant.",,0,normal,openorca,english
Pernahkah manga Ginga e Kickoff!! difilmkan ?,,0,normal,tydiqa,indonesian
Remove the spaces from the following sentence: Experienced computer users can perform these tasks with the Windows Task Scheduler as well but Karen’s Once A Day presents everything in one window making it somewhat easier to configure.,,0,normal,openorca,english
Are tar fumes harmful?,,0,normal,tydiqa,english
На каком завоте производили ТУ-95?,,0,normal,tydiqa,russian
จอร์จ โซรอส มีพี่น้องกี่คน ?,,0,normal,tydiqa,thai
How many plays did Max Rudolf Frisch write?,,0,normal,tydiqa,english
"Build a movie plot around this: Who does a stranger ask Go Mi Nyu to impersonate? her brother
",,0,normal,openorca,english
Write a sentence not in English.,,0,normal,openorca,english
Ask a question about Seven Years%27 War.,,0,normal,openorca,english
Did Christopher William Clayton Hutton have kids?,,0,normal,tydiqa,english
where does the term bear market originate from??,,0,normal,openorca,english
"Write a sentence based on ""u.s. russia expel opposite military attaches""",,0,normal,openorca,english
"Generate a short summary this sentence:
finance officials from the world 's top economic powers endorsed a plan aimed at preventing another financial crisis like the credit and mortgage debacles that erupted in the united states and quickly sent tremors around the globe .",,0,normal,openorca,english
成原とんみの性別は何？,,0,normal,tydiqa,japanese
"Write the next sentence.

Maria did not have a lot of goodwill towards others unlike Erin because ",,0,normal,openorca,english
"(Suosionosoituksia)

Could you please translate this to English?",,0,normal,openorca,english
Dimanakah habitat ular Welang?,,0,normal,tydiqa,indonesian
"Please answer the following question: - sport is fencing    Given the details above, guess who could this information be about.
Answer:",,0,normal,openorca,english
量子を見る方法は？,,0,normal,tydiqa,japanese
"The critic consesnsus is: Poetry is an absorbing, poignant drama because it offers no easy answers to its complex central conflict.. What reviews supported this critic consensus?",,0,normal,openorca,english
"How is ""Remember that the members of the DC will not know anything about your proposal until they read it."" said in Russian?",,0,normal,openorca,english
ما هو  المارزمس؟,,0,normal,tydiqa,arabic
"Каповилья, Мария Эстер де

Which language is this?",,0,normal,openorca,english
"Akron Summit Assault, league, Premier Development League

What is sentence that verbalizes this data?",,0,normal,openorca,english
Apakah nama mata uang Jerman ?,,0,normal,tydiqa,indonesian
"Write a sentence about the following things:

moor, port, ship",,0,normal,openorca,english
Скольких жен казнил Генрих Восьмой?,,0,normal,tydiqa,russian
Write a negative yelp review.,,0,normal,openorca,english
Write a positive movie review.,,0,normal,openorca,english
Please capitalize where necessary: click here to ask me for more info languages english,,0,normal,openorca,english
"pictures photos facts and information on Estates Theatre at night Prague

Add punctuation",,0,normal,openorca,english
Write a positive movie review.,,0,normal,openorca,english
How old is Savernake Station farm?,,0,normal,tydiqa,english
"Pick the option in line with common sense to answer the question. Questions: The man and the woman likened their experience to police brutality.  But, really, they were just unable to do what regarding reality and lies? Options: - differentiate - hate - discriminate - contrast - distinguish
Answer:",,0,normal,openorca,english
Come up with a question and stream of consciousness reasoning that would justify this answer: (G),,0,normal,openorca,english
Apakah ciri khas teks Lorem ipsum?,,0,normal,tydiqa,indonesian
"Given the sentence ""Three people looking at produce on a cart."" can we conclude that ""The people looked at the produce.""?
Options:
- yes
- it is not possible to tell
- no Step by step answer:",,0,normal,openorca,english
People standing and sitting next to some trees and bicycles doesn't mean they are taking a break or even biking.is the reasoning for what question and answer pair?,,0,normal,openorca,english
Ask a question about Israel.,,0,normal,openorca,english
"The new government will have difficult tasks ahead.

Translate to Turkish",,0,normal,openorca,english
"Please add spaces between words: Canusethepulpaloneorwithaloevera,honey,rosewateretc.",,0,normal,openorca,english
Ada berapakah aliran dalam karate ?,,0,normal,tydiqa,indonesian
Please add spaces between words: SimilargamestoSheepPhysics,,0,normal,openorca,english
apakah arti Qaf ?,,0,normal,tydiqa,indonesian
Write a sentence in English.,,0,normal,openorca,english
ハンブルクは海沿いに面する？,,0,normal,tydiqa,japanese
Berapakah luas uni soviet ?,,0,normal,tydiqa,indonesian
Когда был утвержден современный герб Смоленска?,,0,normal,tydiqa,russian
Write a positive movie review.,,0,normal,openorca,english
"Question: ""Aylesworth Apartments"", given a list of categories: company, educational institution, artist, athlete, office holder, mean of transportation, building, natural place, village, animal, plant, album, film or written work, what category does the title belong to?
Answer:",,0,normal,openorca,english
"Attributes: name = Strada, eatType = pub, food = Japanese, customer rating = low, near = Yippee Noodle Bar. Produce a detailed sentence about this restaurant.",,0,normal,openorca,english
dari manakah asal Dr. KH. Idham Chalid ?,,0,normal,tydiqa,indonesian
Dimana  Stephen Curry lahir ?,,0,normal,tydiqa,indonesian
Siapa yang dimaksud Wangsa Wettin ?,,0,normal,tydiqa,indonesian
วอลแตร์ เกิดมื่เไหร่?,,0,normal,tydiqa,thai
Kapan Hidekaz Himaruya membuat Daftar Karakter di Hetalia?,,0,normal,tydiqa,indonesian
Choices: a. negative; b. positive; What would be an example of an b. review?,,0,normal,openorca,english
ไพรเมตเห็นภาพสีด้วยเซลล์รูปกรวยกี่ประเภท?,,0,normal,tydiqa,thai
"Please answer the following question: Build a movie plot around this: Who does Doc Wallace declare dead? Ellen
A:",,0,normal,openorca,english
"How is ""It would therefore reserve its comments until it received further clarification."" said in French?",,0,normal,openorca,english
"Premise: ""A man and a woman are walking down the sidewalk.""
Hypothesis: ""Two people are walking outside.""
Is the hypothesis entailed by the premise?
Options:
- yes
- it is not possible to tell
- no Now, let's be accurate as possible. Some thinking first:",,0,normal,openorca,english
"Add spaces: 1)""ThethingsconcerningtheKingdomofGod",,0,normal,openorca,english
How old is Ruby?,,0,normal,tydiqa,english
Ada berapa genre dalam Permainan video?,,0,normal,tydiqa,indonesian
Di manakah Sun Zi meninggal?,,0,normal,tydiqa,indonesian
ラドガ湖の大きさは？,,0,normal,tydiqa,japanese
"Translate ""There is nothing special about the next steps to be undertaken by the government of Kosovo."" to Turkish?",,0,normal,openorca,english
Когда пала германская стена?,,0,normal,tydiqa,russian
"Translate ""A narrow chest, or long back."" to Russian?",,0,normal,openorca,english
dimanakah Kampanye Guadalkanal terjadi?,,0,normal,tydiqa,indonesian
من هو حورس؟,,0,normal,tydiqa,arabic
"Is the premise ""A group of people white water raft on very choppy water."" true if ""a couple was there""?",,0,normal,openorca,english
"Premise: You're not a connoisseur, are you, Hastings?"" I shook my head. 

Hypothesis: You are truly the greatest authority on this subject, Hastings my friend!

Does the premise entail the hypothesis?

Options are:
 -yes
 -it is not possible to tell
 -no",,0,normal,openorca,english
How old is Sir Michael Thomas Somare?,,0,normal,tydiqa,english
Write a brief sentence.,,0,normal,openorca,english
اين توجد قلعة سانت انجلو؟,,0,normal,tydiqa,arabic
Kapankah kereta listrik ditemukan ?,,0,normal,tydiqa,indonesian
"And the good old custom of actually putting apples in apple slices, 're not entirely bad in the version with chilli syrup cooked apple pieces.

Please remove spaces between words.",,0,normal,openorca,english
← Thanksgiving at Horizon Elementary School Say this using Spanish,,0,normal,openorca,english
"ReturntotablePSKAT1

Please segment the words:",,0,normal,openorca,english
"All he had to do was say, ""Viva el gobierno! Say this using Spanish",,0,normal,openorca,english
Kapan ilmu ekonomi ditemukan ?,,0,normal,tydiqa,indonesian
Berapa luas Bolivia?,,0,normal,tydiqa,indonesian
Apa itu Comtesse Provence?,,0,normal,tydiqa,indonesian
Kapan Matthew Roy memulai karir menjadi pembalap ?,,0,normal,tydiqa,indonesian
Ask a question about Qing dynasty.,,0,normal,openorca,english
Lizard社はいつ設立された？,,0,normal,tydiqa,japanese
Dari partai apakah Donald Trump berasal ?,,0,normal,tydiqa,indonesian
Come up with a question and reasoning that would justify this answer: yes,,0,normal,openorca,english
Briefly summarize this sentence: we 're all familiar with the idea of being trapped by failure -- or fate .,,0,normal,openorca,english
Был Планк женат?,,0,normal,tydiqa,russian
Does Ron Silverman have kids?,,0,normal,tydiqa,english
"What was the question for this implicit rationale, and corresponding answer?
A dog slides by a parent and child and another dog.
 The answer: yes",,0,normal,openorca,english
"You will be given a definition of a task first, then some input of the task.
This task is about translating a given English language sentence to French.

And Tara has turned out to be like one of Netscape's greatest managers.
Output:",,0,normal,openorca,english
Answer the question...who plays ada on marvel agents of shield??,,0,normal,openorca,english
"Q:Build a movie plot around this: What weapon was Gloria killed with? An axe
A:",,0,normal,openorca,english
Kapan Dinasti Han berdiri ?,,0,normal,tydiqa,indonesian
berapakah luas kota Nairobi?,,0,normal,tydiqa,indonesian
"Lately we have got possession of the Bartholomew Institution for young clergymen having secured all its supporters

Add punctuation.",,0,normal,openorca,english
Когда в России начали выпускать массовый калькуля́тор?,,0,normal,tydiqa,russian
"How is ""5 | New amount | Commitments"" said in Czech?",,0,normal,openorca,english
"How is ""You have a visitor, dear."" said in Czech?",,0,normal,openorca,english
What race are Latin American?,,0,normal,tydiqa,english
Write a dialog about anything you want,,0,normal,openorca,english
Какая цель игры в Префера́нс?,,0,normal,tydiqa,russian
Ask a question about Israel.,,0,normal,openorca,english
"Please answer the following question: Build a movie plot around this: How many miles does Bugs Bunny say the saucer has on it? 3 billion miles
Answer:",,0,normal,openorca,english
"but this teaching provided no analysis.

This is all lower case. Can you fix that?",,0,normal,openorca,english
アリエル・シャロンの身長は,,0,normal,tydiqa,japanese
berapakah luas New York?,,0,normal,tydiqa,indonesian
Kapankah Heinrich VII meninggal ?,,0,normal,tydiqa,indonesian
Когда родился Гэна Уробути?,,0,normal,tydiqa,russian
詩人ピンダロスの出身はどこ,,0,normal,tydiqa,japanese
Apakah topografi wilayah Gibraltar?,,0,normal,tydiqa,indonesian
"lh i,",,0,normal,tydiqa,arabic
Please add spaces between words: Frameoutsidedimensionsforinwardopeningwindows(.pdf),,0,normal,openorca,english
"taylor received many honours during his life.
Capitalize this past sentence correctly.",,0,normal,openorca,english
How old is Belgium?,,0,normal,tydiqa,english
キハ200系気動車の大きさは？,,0,normal,tydiqa,japanese
What is the largest organization of professional soccer?,,0,normal,tydiqa,english
"@Ste1987 terminator was kinda eh. Really bad writing. I was sad  Star trek was amaaaaaazing. One of my all time fav films!

Describe the sentiment embodied by this tweet.",,0,normal,openorca,english
dimanakah Devi Dja dilahirkan?,,0,normal,tydiqa,indonesian
ミシシッピ文化期はいつ始まった？,,0,normal,tydiqa,japanese
"Here is some data: Loch Fyne eatType restaurant; Loch Fyne food Indian; Loch Fyne familyFriendly yes.

Write a sentence that describes this data",,0,normal,openorca,english
"Generate a correctly punctuated version of the following text: Latest visit 3 December 2011 2313

",,0,normal,openorca,english
How can Prince Henry become a King?,,0,normal,tydiqa,english
"It reserved the right, after an investigation, to report to the General Assembly on how that document should be dealt with.

Translate to French.",,0,normal,openorca,english
Write a sentence not in English.,,0,normal,openorca,english
На сколько течений распался Мои́зм после смерти Мо-цзы?,,0,normal,tydiqa,russian
"Write the next sentence in this paragraph:

Boys and girls are in stage doing a cheerleader choreography in a competiion while people in stands are watching them. men wearing black uniforms",,0,normal,openorca,english
How large is Michoacán?,,0,normal,tydiqa,english
"Generate a short movie review that has ""2)."" sentiment (Pick your answer from:
 1). negative.
 2). positive.).",,0,normal,openorca,english
"Write a subject line for this message:

Confidential Attorney Work Product Not Discoverable  Attached is a preliminary draft of the Legal Risk Chart. You will need to  open this in ""Read Only mode""  Richard and Jeff -   As we discussed,  I will need further assistance from you to complete several  of the entries. I have put your names by the entries that will either need  to be updated or to be completed. I believe Julia and Mark T would be the  best to provide updated information on the SEC Risk and the CFTC Risk ,  respectively, and I will get with them shortly to update. This document has  limited access; only my assistant, Brenda Whitehead can view/revise. Accordingly, Jeff and Richard - please either call me to discuss your  comments and I can complete the chart with Brenda or else provide Brenda with  your written comments. Thanks for your help. Elizabeth  36349 

Subject Line:",,0,normal,openorca,english
When was Cyclooxygenases discovered?,,0,normal,tydiqa,english
Please add spaces between words: Continueuntilpiecemeasures73(75)cm.,,0,normal,openorca,english
How many characters did Fright Night have?,,0,normal,tydiqa,english
Apakah sajian minum petang masyarakat Belanda?,,0,normal,tydiqa,indonesian
Write a negative movie review.,,0,normal,openorca,english
"Complete the following sentence.

Logan was into cars, but Derrick couldn't care less. This was due to 
Pick your answer from:
 (A). Logan needing transportation to the city.
 (B). Derrick needing transportation to the city.",,0,normal,openorca,english
How many DS's have sold?,,0,normal,tydiqa,english
Ask a question about Sony Music Entertainment.,,0,normal,openorca,english
Сколько башен на кремле Нижнего Новгорода?,,0,normal,tydiqa,russian
"How does the sentence end?

Betty asked Natalie what was better for exterior doors metal or wood, ",,0,normal,openorca,english
Write a sentence not in English.,,0,normal,openorca,english
"In older buildings there will be difficult to find builtin models

Add punctuation",,0,normal,openorca,english
Siapa presiden pertama ?,,0,normal,tydiqa,indonesian
"That means the customers have to wait too.

Translate to Turkish",,0,normal,openorca,english
Ask a question about Hindu philosophy.,,0,normal,openorca,english
When was Gus Dur born?,,0,normal,tydiqa,english
Ask a question about Red.,,0,normal,openorca,english
"ChambordCastle-photography,France,photosofFrance,Francepictures

Please segment the words:",,0,normal,openorca,english
"Disattivarefringfirma(IM)
Generate a sentence using the above characters:",,0,normal,openorca,english
Kapan Pangeran Wallachia lahir ?,,0,normal,tydiqa,indonesian
"Generate a short movie review that has ""negative"" sentiment (Choose from:
 * negative.
 * positive.).",,0,normal,openorca,english
who sang save a horse ride a cowboy??,,0,normal,openorca,english
berapakah luas Tivoli ?,,0,normal,tydiqa,indonesian
Есть последователи «Ау́м синрикё» в России на март 2019?,,0,normal,tydiqa,russian
Produce a long descriptive sentence that uses all these words: London LEADER_NAME Boris Johnson,,0,normal,openorca,english
"How is ""I thought it was over."" said in Czech?",,0,normal,openorca,english
Berapa luas daerah Nuzi?,,0,normal,tydiqa,indonesian
Berapa biaya produksi film Phobia?,,0,normal,tydiqa,indonesian
Имела ли Борьба Рима с Парфией во время Ри́мско-перси́дских во́йн экономические причины?,,0,normal,tydiqa,russian
Write a sentence.,,0,normal,openorca,english
スクーンの面積は？,,0,normal,tydiqa,japanese
楊貴氏墓誌の発見者はだれ,,0,normal,tydiqa,japanese
apakah kerajaan tertua di Aceh?,,0,normal,tydiqa,indonesian
Write a sentence not in English.,,0,normal,openorca,english
"Когда был запущен первы ""Союз""?",,0,normal,tydiqa,russian
Write a sentence not in English.,,0,normal,openorca,english
"makehealthychoicestoenablethebodytorejuvenatewhichisexactlyhowI
What's a sentence that uses these characters?",,0,normal,openorca,english
What is the answer: Who was commander of RAF Fighter Command during the Battle of Britain?,,0,normal,openorca,english
"Attributes: name = Clowns, eatType = coffee shop, food = French, customer rating = average, area = city centre, near = Clare Hall. Produce a detailed sentence about this restaurant.",,0,normal,openorca,english
"Write an email with the following subject:

Williams Energy News Live Interview on Mastio's Natural Gas  Marketer Customer Satisfaction Study",,0,normal,openorca,english
